Date,Amount,Description,Category,Merchant
2024-01-01,45.67,Grocery shopping,Food,Grocery Store
2024-01-02,20.00,Coffee with friends,Dining,Café
2024-01-03,105.25,Monthly phone bill,Utilities,Telecom Company
2024-01-04,35.99,Online shopping - clothes,Shopping,Online Retailer
2024-01-05,50.00,Dinner at Italian restaurant,Dining,Restaurant
2024-01-06,200.00,Monthly rent,Housing,Property Management
2024-01-07,15.75,Movie night,Entertainment,Movie Theater
2024-01-08,75.00,Medical co-pay,Healthcare,Doctor's Office
2024-01-09,40.00,Brunch with family,Dining,Restaurant
2024-01-10,60.00,Gym membership fee,Fitness,Gym
2024-01-11,25.50,Transportation fare,Transportation,Public Transit
2024-01-12,85.00,Electricity bill,Utilities,Utility Company
2024-01-13,70.25,Dentist appointment,Healthcare,Dentist Office
2024-01-14,30.00,Lunch at work,Dining,Cafeteria
2024-01-15,55.00,Online subscription renewal,Subscriptions,Online Service
2024-01-16,20.00,Snacks and drinks,Food and Beverage,Convenience Store
2024-01-17,120.00,Weekend getaway,Travel,Hotel
2024-01-18,40.00,Hardware store purchases,Home Improvement,Hardware Store
2024-01-19,65.75,Car maintenance,Auto,Auto Repair Shop
2024-01-20,80.00,Book purchase,Books,Bookstore
2024-01-21,15.00,Laundry service,Services,Laundromat
2024-01-22,90.00,Clothing shopping,Shopping,Clothing Store
2024-01-23,50.00,Internet subscription,Utilities,Internet Provider
2024-01-24,35.25,Takeout dinner,Dining,Restaurant
2024-01-25,25.00,Movie tickets,Entertainment,Movie Theater
2024-01-26,70.00,Health insurance payment,Insurance,Insurance Company
2024-01-27,40.00,Coffee and pastry,Dining,Café
2024-01-28,60.00,Home cleaning service,Services,Cleaning Company
2024-01-29,150.00,Concert tickets,Entertainment,Concert Venue
2024-01-30,55.25,Doctor consultation fee,Healthcare,Doctor's Office
2024-01-31,25.00,Parking fee,Transportation,Parking Garage
2024-02-01,45.67,Grocery shopping,Food,Grocery Store
2024-02-02,20.00,Coffee with friends,Dining,Café
2024-02-03,105.25,Monthly phone bill,Utilities,Telecom Company
2024-02-04,35.99,Online shopping - clothes,Shopping,Online Retailer
2024-02-05,50.00,Dinner at Italian restaurant,Dining,Restaurant
2024-02-06,200.00,Monthly rent,Housing,Property Management
2024-02-07,15.75,Movie night,Entertainment,Movie Theater
2024-02-08,75.00,Medical co-pay,Healthcare,Doctor's Office
2024-02-09,40.00,Brunch with family,Dining,Restaurant
2024-02-10,60.00,Gym membership fee,Fitness,Gym
2024-02-11,25.50,Transportation fare,Transportation,Public Transit
2024-02-12,85.00,Electricity bill,Utilities,Utility Company
2024-02-13,70.25,Dentist appointment,Healthcare,Dentist Office
2024-02-14,30.00,Lunch at work,Dining,Cafeteria
2024-02-15,55.00,Online subscription renewal,Subscriptions,Online Service
2024-02-16,20.00,Snacks and drinks,Food and Beverage,Convenience Store
2024-02-17,120.00,Weekend getaway,Travel,Hotel
2024-02-18,40.00,Hardware store purchases,Home Improvement,Hardware Store
2024-02-19,65.75,Car maintenance,Auto,Auto Repair Shop
2024-02-20,80.00,Book purchase,Books,Bookstore
2024-02-21,15.00,Laundry service,Services,Laundromat
2024-02-22,90.00,Clothing shopping,Shopping,Clothing Store
2024-02-23,50.00,Internet subscription,Utilities,Internet Provider
2024-02-24,35.25,Takeout dinner,Dining,Restaurant
2024-02-25,25.00,Movie tickets,Entertainment,Movie Theater
2024-02-26,70.00,Health insurance payment,Insurance,Insurance Company
2024-02-27,40.00,Coffee and pastry,Dining,Café
2024-02-28,60.00,Home cleaning service,Services,Cleaning Company
2024-02-29,150.00,Concert tickets,Entertainment,Concert Venue
2024-02-29,55.25,Doctor consultation fee,Healthcare,Doctor's Office
2024-02-29,25.00,Parking fee,Transportation,Parking Garage
2024-03-01,45.67,Grocery shopping,Food,Grocery Store
2024-03-02,20.00,Coffee with friends,Dining,Café
2024-03-03,105.25,Monthly phone bill,Utilities,Telecom Company
2024-03-04,35.99,Online shopping - clothes,Shopping,Online Retailer
2024-03-05,50.00,Dinner at Italian restaurant,Dining,Restaurant
2024-03-06,200.00,Monthly rent,Housing,Property Management
2024-03-07,15.75,Movie night,Entertainment,Movie Theater
2024-03-08,75.00,Medical co-pay,Healthcare,Doctor's Office
2024-03-09,40.00,Brunch with family,Dining,Restaurant
2024-03-10,60.00,Gym membership fee,Fitness,Gym
2024-03-11,25.50,Transportation fare,Transportation,Public Transit